permutation with time shift,react,from,to,corresponds to transition
"(2,1);(1,0)",mov,9,3,132
"(1,1);(2,0)",mov,8,46,133
"(2,1);(1,0)",mov,8,47,134
"(1,1);(2,0)",mov,8,31,135
"(1,0);(2,1)",mov,8,29,136
"(1,1);(2,0)",mov,8,25,137
"(1,0);(2,1)",mov,8,22,138
"(1,0);(2,1)",stay,8,8,139
"(1,1);(2,0)",stay,8,8,140
"(2,1);(1,0)",mov,8,5,141
"(2,0);(1,1)",mov,7,45,142
"(1,0);(2,1)",mov,7,47,143
"(2,0);(1,1)",mov,7,30,144
"(1,0);(2,1)",mov,7,32,145
"(2,0);(1,1)",mov,7,24,146
"(1,0);(2,1)",mov,7,26,147
"(1,0);(2,1)",stay,7,7,148
"(1,1);(2,0)",stay,7,7,149
"(2,1);(1,0)",mov,7,6,150
"(2,1);(1,0)",mov,53,100,151
"(1,1);(2,0)",mov,53,98,152
"(1,0);(2,1)",mov,53,44,153
"(1,0);(2,1)",mov,53,42,154
"(1,0);(2,1)",stay,53,53,155
"(1,1);(2,0)",stay,53,53,156
"(1,0);(2,1)",mov,53,20,157
"(1,0);(2,1)",mov,54,105,158
"(1,1);(2,0)",mov,54,73,159
"(1,0);(2,1)",stay,54,54,160
"(1,1);(2,0)",stay,54,54,161
"(1,0);(2,1)",mov,54,55,162
"(1,0);(2,1)",mov,54,56,163
"(1,0);(2,1)",mov,55,105,164
"(2,0);(1,1)",mov,55,72,165
"(1,0);(2,1)",stay,55,55,166
"(1,1);(2,0)",stay,55,55,167
"(1,0);(2,1)",mov,55,56,168
"(1,0);(2,1)",mov,55,54,169
"(1,0);(2,1)",mov,56,105,170
"(1,0);(2,2)",get2,56,89,171
"(1,0);(2,2)",get2,56,89,172
"(2,0);(1,1)",mov,56,70,173
"(1,0);(2,1)",get1,56,65,174
"(1,0);(2,1)",stay,56,56,175
"(1,1);(2,0)",stay,56,56,176
"(1,0);(2,1)",mov,56,54,177
"(1,0);(2,1)",mov,56,55,178
"(1,0);(2,1)",mov,49,95,179
"(1,0);(2,2)",set1,49,91,180
"(2,0);(1,1)",mov,49,78,181
"(1,0);(2,1)",mov,49,66,182
"(1,0);(2,1)",stay,49,49,183
"(1,1);(2,0)",stay,49,49,184
"(1,0);(2,1)",mov,49,48,185
"(1,0);(2,1)",mov,50,94,186
"(2,0);(1,1)",mov,50,76,187
"(1,0);(2,1)",mov,50,64,188
"(1,0);(2,1)",stay,50,50,189
"(1,1);(2,0)",stay,50,50,190
"(1,0);(2,1)",mov,50,51,191
"(1,0);(2,1)",mov,51,94,192
"(2,0);(1,1)",mov,51,74,193
"(1,0);(2,1)",mov,51,64,194
"(1,0);(2,1)",stay,51,51,195
"(1,1);(2,0)",stay,51,51,196
"(1,0);(2,1)",mov,51,50,197
"(1,0);(2,1)",mov,52,13,198
"(2,0);(1,1)",mov,52,13,199
"(1,0);(2,1)",stay,52,52,200
"(2,0);(1,1)",stay,52,52,201
"(1,1);(2,0)",mov,45,103,202
"(2,1);(1,0)",mov,45,104,203
"(1,1);(2,0)",mov,45,71,204
"(2,1);(1,0)",mov,45,70,205
"(1,1);(2,0)",mov,45,11,206
"(1,0);(2,1)",stay,45,45,207
"(1,1);(2,0)",stay,45,45,208
"(1,1);(2,0)",mov,45,47,209
"(2,1);(1,0)",mov,45,46,210
"(2,1);(1,0)",mov,46,102,211
"(1,1);(2,0)",mov,46,104,212
"(1,1);(2,0)",mov,46,70,213
"(1,0);(2,1)",mov,46,68,214
"(2,1);(1,0)",mov,46,12,215
"(1,0);(2,1)",stay,46,46,216
"(1,1);(2,0)",stay,46,46,217
"(1,0);(2,1)",mov,46,47,218
"(2,0);(1,1)",mov,46,45,219
"(2,1);(1,0)",mov,47,102,220
"(1,1);(2,0)",mov,47,103,221
"(1,0);(2,1)",mov,47,68,222
"(1,1);(2,0)",mov,47,71,223
"(1,1);(2,0)",stay,47,47,224
"(1,0);(2,1)",stay,47,47,225
"(1,1);(2,0)",mov,47,45,226
"(1,0);(2,1)",mov,47,46,227
"(1,0);(2,1)",mov,48,95,228
"(1,1);(2,0)",mov,48,79,229
"(1,0);(2,1)",mov,48,66,230
"(1,0);(2,1)",stay,48,48,231
"(1,1);(2,0)",stay,48,48,232
"(1,0);(2,1)",mov,48,49,233
"(1,0);(2,1)",mov,41,92,234
"(1,0);(2,1)",mov,41,88,235
"(1,1);(2,0)",mov,41,87,236
"(1,0);(2,1)",stay,41,41,237
"(1,1);(2,0)",stay,41,41,238
"(1,0);(2,1)",mov,41,42,239
"(1,0);(2,1)",mov,42,92,240
"(1,0);(2,1)",mov,42,88,241
"(2,0);(1,1)",mov,42,86,242
"(1,0);(2,1)",stay,42,42,243
"(1,1);(2,0)",stay,42,42,244
"(1,0);(2,1)",mov,42,41,245
"(1,0);(2,1)",mov,43,93,246
"(1,0);(2,1)",mov,43,90,247
"(2,0);(1,1)",mov,43,84,248
"(1,0);(2,1)",stay,43,43,249
"(1,1);(2,0)",stay,43,43,250
"(1,0);(2,1)",mov,43,44,251
"(1,0);(2,1)",mov,44,93,252
"(1,0);(2,1)",mov,44,90,253
"(2,0);(1,1)",mov,44,82,254
"(1,0);(2,3)",set2,44,67,255
"(1,0);(2,1)",stay,44,44,256
"(1,1);(2,0)",stay,44,44,257
"(1,0);(2,1)",mov,44,43,258
"(1,1);(2,0)",mov,37,104,259
"(1,0);(2,1)",mov,37,101,260
"(1,0);(2,1)",stay,37,37,261
"(1,1);(2,0)",stay,37,37,262
"(1,0);(2,1)",mov,37,11,263
"(1,0);(2,1)",mov,37,12,264
"(1,0);(2,1)",mov,37,56,265
"(1,0);(2,1)",mov,38,98,266
"(2,0);(1,1)",mov,38,99,267
"(2,1);(1,0)",mov,38,86,268
"(1,1);(2,0)",mov,38,83,269
"(1,1);(2,0)",mov,38,85,270
"(2,1);(1,0)",mov,38,82,271
"(1,0);(2,1)",stay,38,38,272
"(1,1);(2,0)",stay,38,38,273
"(1,1);(2,0)",mov,38,20,274
"(1,0);(2,1)",mov,39,96,275
"(1,1);(2,0)",mov,39,61,276
"(1,0);(2,1)",stay,39,39,277
"(1,1);(2,0)",stay,39,39,278
"(1,0);(2,1)",mov,39,16,279
"(1,0);(2,1)",mov,39,17,280
"(1,0);(2,1)",mov,39,55,281
"(1,0);(2,1)",mov,40,97,282
"(1,1);(2,0)",mov,40,62,283
"(1,0);(2,1)",stay,40,40,284
"(1,1);(2,0)",stay,40,40,285
"(1,0);(2,1)",mov,40,19,286
"(1,0);(2,1)",mov,40,18,287
"(1,0);(2,1)",mov,40,54,288
"(1,0);(2,1)",mov,33,81,289
"(1,1);(2,0)",mov,33,80,290
"(2,1);(1,0)",mov,33,78,291
"(1,1);(2,0)",mov,33,75,292
"(1,1);(2,0)",mov,33,77,293
"(2,1);(1,0)",mov,33,74,294
"(1,0);(2,1)",stay,33,33,295
"(1,1);(2,0)",stay,33,33,296
"(1,1);(2,0)",mov,33,10,297
"(1,1);(2,0)",mov,34,9,298
"(2,1);(1,0)",mov,34,9,299
"(2,1);(1,0)",mov,34,23,300
"(1,1);(2,0)",mov,34,23,301
"(2,1);(1,0)",mov,34,21,302
"(1,1);(2,0)",mov,34,21,303
"(2,1);(1,0)",stay,34,34,304
"(1,1);(2,0)",stay,34,34,305
"(1,1);(2,0)",mov,34,13,306
"(2,1);(1,0)",mov,34,13,307
"(2,2);(1,0)",get2,35,99,308
"(2,2);(1,0)",get2,35,99,309
"(1,2);(2,0)",get2,35,99,310
"(1,2);(2,0)",get2,35,99,311
"(2,0);(1,1)",get1,35,80,312
"(1,0);(2,1)",get1,35,80,313
"(2,0);(1,1)",mov,35,9,314
"(1,0);(2,1)",mov,35,9,315
"(2,1);(1,0)",mov,35,22,316
"(1,1);(2,0)",mov,35,22,317
"(1,1);(2,0)",mov,35,26,318
"(2,1);(1,0)",mov,35,26,319
"(2,0);(1,1)",stay,35,35,320
"(1,0);(2,1)",stay,35,35,321
"(1,1);(2,0)",mov,36,81,322
"(2,1);(1,0)",mov,36,63,323
"(1,0);(2,1)",stay,36,36,324
"(1,1);(2,0)",stay,36,36,325
"(1,0);(2,1)",mov,36,10,326
"(1,0);(2,1)",mov,36,51,327
"(1,0);(2,1)",mov,36,49,328
"(2,0);(1,1)",mov,29,8,329
"(1,0);(2,1)",mov,29,8,330
"(1,0);(2,1)",mov,29,22,331
"(2,0);(1,1)",mov,29,22,332
"(2,0);(1,1)",stay,29,29,333
"(1,0);(2,1)",stay,29,29,334
"(2,1);(1,0)",mov,29,47,335
"(1,1);(2,0)",mov,29,47,336
"(1,1);(2,0)",mov,30,7,337
"(2,1);(1,0)",mov,30,7,338
"(1,0);(2,1)",mov,30,24,339
"(2,0);(1,1)",mov,30,24,340
"(2,0);(1,1)",stay,30,30,341
"(1,0);(2,1)",stay,30,30,342
"(2,1);(1,0)",mov,30,14,343
"(1,1);(2,0)",mov,30,14,344
"(2,0);(1,1)",mov,30,45,345
"(1,0);(2,1)",mov,30,45,346
"(1,1);(2,0)",mov,31,8,347
"(2,1);(1,0)",mov,31,8,348
"(2,1);(1,0)",mov,31,25,349
"(1,1);(2,0)",mov,31,25,350
"(2,1);(1,0)",stay,31,31,351
"(1,1);(2,0)",stay,31,31,352
"(1,1);(2,0)",mov,31,15,353
"(2,1);(1,0)",mov,31,15,354
"(1,1);(2,0)",mov,31,46,355
"(2,1);(1,0)",mov,31,46,356
"(2,0);(1,1)",mov,32,7,357
"(1,0);(2,1)",mov,32,7,358
"(1,0);(2,1)",mov,32,26,359
"(2,0);(1,1)",mov,32,26,360
"(2,0);(1,1)",stay,32,32,361
"(1,0);(2,1)",stay,32,32,362
"(1,0);(2,1)",mov,32,47,363
"(2,0);(1,1)",mov,32,47,364
"(1,2);(2,0)",get2,25,84,365
"(1,2);(2,0)",get2,25,84,366
"(1,1);(2,0)",get1,25,76,367
"(1,1);(2,0)",mov,25,72,368
"(2,1);(1,0)",mov,25,68,369
"(1,0);(2,1)",mov,25,59,370
"(1,1);(2,0)",mov,25,61,371
"(1,0);(2,1)",stay,25,25,372
"(1,1);(2,0)",stay,25,25,373
"(2,1);(1,0)",mov,25,22,374
"(1,1);(2,0)",mov,25,23,375
"(2,1);(1,0)",mov,25,16,376
"(1,0);(2,2)",get2,26,83,377
"(1,0);(2,2)",get2,26,83,378
"(1,0);(2,1)",get1,26,75,379
"(2,1);(1,0)",mov,26,69,380
"(2,0);(1,1)",mov,26,71,381
"(2,1);(1,0)",mov,26,57,382
"(1,1);(2,0)",mov,26,60,383
"(1,1);(2,0)",stay,26,26,384
"(1,0);(2,1)",stay,26,26,385
"(1,1);(2,0)",mov,26,24,386
"(1,0);(2,1)",mov,26,21,387
"(1,0);(2,1)",stay,27,27,388
"(2,0);(1,1)",stay,27,27,389
"(1,0);(2,1)",mov,27,15,390
"(2,0);(1,1)",mov,27,15,391
"(1,0);(2,1)",stay,28,28,392
"(2,0);(1,1)",stay,28,28,393
"(1,0);(2,1)",mov,28,14,394
"(2,0);(1,1)",mov,28,14,395
"(2,0);(1,1)",mov,21,73,396
"(2,1);(1,0)",mov,21,69,397
"(2,1);(1,0)",mov,21,57,398
"(1,1);(2,0)",mov,21,62,399
"(1,0);(2,1)",stay,21,21,400
"(1,1);(2,0)",stay,21,21,401
"(1,0);(2,1)",mov,21,26,402
"(2,0);(1,1)",mov,21,24,403
"(2,1);(1,0)",mov,21,19,404
"(1,0);(2,2)",get2,22,85,405
"(1,0);(2,2)",get2,22,85,406
"(1,0);(2,1)",get1,22,77,407
"(1,1);(2,0)",mov,22,68,408
"(1,0);(2,1)",mov,22,69,409
"(2,1);(1,0)",mov,22,58,410
"(1,1);(2,0)",mov,22,59,411
"(1,0);(2,1)",stay,22,22,412
"(1,1);(2,0)",stay,22,22,413
"(2,0);(1,1)",mov,22,25,414
"(1,0);(2,1)",mov,22,23,415
"(1,1);(2,0)",mov,23,72,416
"(1,0);(2,1)",mov,23,69,417
"(1,0);(2,1)",mov,23,58,418
"(1,1);(2,0)",mov,23,61,419
"(1,0);(2,1)",stay,23,23,420
"(1,1);(2,0)",stay,23,23,421
"(1,0);(2,1)",mov,23,22,422
"(1,1);(2,0)",mov,23,25,423
"(2,1);(1,0)",mov,23,17,424
"(1,0);(2,2)",get2,24,87,425
