permutation with time shift,react,from,to,corresponds to transition
"(1,0);(2,1)",stay,72,72,661
"(1,1);(2,0)",stay,72,72,662
"(1,0);(2,1)",mov,72,68,663
"(2,0);(1,1)",mov,72,73,664
"(2,1);(1,0)",mov,72,69,665
"(1,1);(2,0)",mov,72,70,666
"(2,1);(1,0)",mov,72,55,667
"(1,1);(2,0)",mov,73,123,668
"(2,1);(1,0)",mov,73,122,669
"(1,0);(2,1)",stay,73,73,670
"(1,1);(2,0)",stay,73,73,671
"(2,1);(1,0)",mov,73,70,672
"(2,1);(1,0)",mov,73,72,673
"(2,0);(1,1)",mov,73,69,674
"(1,1);(2,0)",mov,73,71,675
"(1,1);(2,0)",mov,73,54,676
"(1,1);(2,0)",mov,74,150,677
"(2,1);(1,0)",mov,74,148,678
"(1,0);(2,1)",mov,74,132,679
"(2,0);(1,1)",mov,74,112,680
"(1,0);(2,1)",mov,74,108,681
"(1,0);(2,1)",stay,74,74,682
"(1,1);(2,0)",stay,74,74,683
"(1,1);(2,0)",mov,74,76,684
"(2,1);(1,0)",mov,74,51,685
"(2,0);(1,1)",mov,75,149,686
"(1,0);(2,1)",mov,75,148,687
"(1,0);(2,1)",mov,75,134,688
"(2,0);(1,1)",mov,75,113,689
"(2,1);(1,0)",mov,75,109,690
"(1,0);(2,1)",stay,75,75,691
"(1,1);(2,0)",stay,75,75,692
"(1,1);(2,0)",mov,75,79,693
"(1,1);(2,0)",mov,76,150,694
"(1,0);(2,1)",mov,76,153,695
"(2,0);(1,1)",mov,76,112,696
"(1,0);(2,1)",mov,76,111,697
"(1,0);(2,1)",stay,76,76,698
"(1,1);(2,0)",stay,76,76,699
"(1,1);(2,0)",mov,76,74,700
"(2,1);(1,0)",mov,76,77,701
"(2,1);(1,0)",mov,76,50,702
"(2,0);(1,1)",mov,67,155,703
"(1,0);(2,1)",mov,67,147,704
"(1,0);(2,1)",mov,67,118,705
"(1,0);(2,1)",mov,67,119,706
"(1,0);(2,1)",stay,67,67,707
"(1,1);(2,0)",stay,67,67,708
"(1,0);(2,2)",get2,68,160,709
"(1,0);(2,2)",get2,68,160,710
"(2,1);(1,0)",get1,68,153,711
"(1,1);(2,0)",mov,68,121,712
"(2,1);(1,0)",mov,68,120,713
"(1,1);(2,0)",stay,68,68,714
"(1,0);(2,1)",stay,68,68,715
"(2,1);(1,0)",mov,68,69,716
"(1,0);(2,1)",mov,68,72,717
"(2,0);(1,1)",mov,68,70,718
"(2,0);(1,1)",mov,68,71,719
"(1,1);(2,0)",mov,69,120,720
"(2,1);(1,0)",mov,69,123,721
"(1,1);(2,0)",stay,69,69,722
"(1,0);(2,1)",stay,69,69,723
"(2,1);(1,0)",mov,69,71,724
"(2,1);(1,0)",mov,69,73,725
"(2,0);(1,1)",mov,69,72,726
"(2,0);(1,1)",mov,69,68,727
"(2,0);(1,2)",get2,70,162,728
"(2,0);(1,2)",get2,70,162,729
"(1,1);(2,0)",get1,70,152,730
"(1,1);(2,0)",mov,70,122,731
"(2,1);(1,0)",mov,70,121,732
"(1,0);(2,1)",stay,70,70,733
"(1,1);(2,0)",stay,70,70,734
"(1,0);(2,1)",mov,70,71,735
"(1,1);(2,0)",mov,70,72,736
"(2,1);(1,0)",mov,70,68,737
"(2,0);(1,1)",mov,70,73,738
"(2,1);(1,0)",mov,70,56,739
"(2,0);(1,2)",get2,71,164,740
"(2,0);(1,2)",get2,71,164,741
"(1,1);(2,0)",get1,71,149,742
"(2,1);(1,0)",mov,71,121,743
"(1,1);(2,0)",mov,71,123,744
"(1,0);(2,1)",stay,71,71,745
"(1,1);(2,0)",stay,71,71,746
"(1,1);(2,0)",mov,71,73,747
"(2,0);(1,1)",mov,71,69,748
"(2,1);(1,0)",mov,71,68,749
"(1,0);(2,1)",mov,71,70,750
"(1,1);(2,0)",stay,62,62,751
"(2,1);(1,0)",stay,62,62,752
"(1,0);(2,1)",mov,62,24,753
"(2,0);(1,1)",mov,62,24,754
"(2,1);(1,0)",mov,62,21,755
"(1,1);(2,0)",mov,62,21,756
"(2,0);(1,1)",mov,62,73,757
"(1,0);(2,1)",mov,62,73,758
"(2,1);(1,0)",mov,62,40,759
"(1,1);(2,0)",mov,62,40,760
"(2,1);(1,0)",mov,63,165,761
"(1,0);(2,1)",stay,63,63,762
"(1,1);(2,0)",stay,63,63,763
"(2,0);(1,1)",mov,63,36,764
"(2,0);(1,1)",mov,64,150,765
"(1,0);(2,1)",mov,64,117,766
"(1,0);(2,2)",set1,64,107,767
"(1,0);(2,1)",stay,64,64,768
"(1,1);(2,0)",stay,64,64,769
"(1,0);(2,1)",mov,64,66,770
"(1,0);(2,1)",mov,64,65,771
"(2,0);(1,1)",mov,65,152,772
"(1,0);(2,1)",mov,65,117,773
"(1,0);(2,1)",stay,65,65,774
"(1,1);(2,0)",stay,65,65,775
"(1,0);(2,1)",mov,65,64,776
"(1,0);(2,1)",mov,65,66,777
"(2,0);(1,1)",mov,66,154,778
"(1,0);(2,1)",mov,66,117,779
"(1,0);(2,1)",stay,66,66,780
"(1,1);(2,0)",stay,66,66,781
"(1,0);(2,1)",mov,66,64,782
"(1,0);(2,1)",mov,66,65,783
"(2,1);(1,0)",stay,57,57,784
"(1,1);(2,0)",stay,57,57,785
"(1,0);(2,1)",mov,57,26,786
"(2,0);(1,1)",mov,57,26,787
"(2,0);(1,1)",mov,57,21,788
"(1,0);(2,1)",mov,57,21,789
"(1,1);(2,0)",mov,57,69,790
"(2,1);(1,0)",mov,57,69,791
"(2,1);(1,0)",stay,58,58,792
"(1,1);(2,0)",stay,58,58,793
"(2,0);(1,1)",mov,58,22,794
"(1,0);(2,1)",mov,58,22,795
"(2,0);(1,1)",mov,58,23,796
"(1,0);(2,1)",mov,58,23,797
"(2,0);(1,1)",mov,58,69,798
"(1,0);(2,1)",mov,58,69,799
"(2,2);(1,0)",get2,59,128,800
"(1,2);(2,0)",get2,59,128,801
"(1,2);(2,0)",get2,59,128,802
"(2,2);(1,0)",get2,59,128,803
"(1,1);(2,0)",get1,59,111,804
"(2,1);(1,0)",get1,59,111,805
"(2,1);(1,0)",stay,59,59,806
"(1,1);(2,0)",stay,59,59,807
"(1,1);(2,0)",mov,59,22,808
"(2,1);(1,0)",mov,59,22,809
"(2,0);(1,1)",mov,59,25,810
"(1,0);(2,1)",mov,59,25,811
"(1,1);(2,0)",mov,59,68,812
"(2,1);(1,0)",mov,59,68,813
"(1,2);(2,0)",get2,60,130,814
"(2,2);(1,0)",get2,60,130,815
"(2,2);(1,0)",get2,60,130,816
"(1,2);(2,0)",get2,60,130,817
"(2,1);(1,0)",get1,60,113,818
"(1,1);(2,0)",get1,60,113,819
"(2,1);(1,0)",stay,60,60,820
"(1,1);(2,0)",stay,60,60,821
"(2,1);(1,0)",mov,60,24,822
"(1,1);(2,0)",mov,60,24,823
"(1,1);(2,0)",mov,60,26,824
"(2,1);(1,0)",mov,60,26,825
"(2,0);(1,1)",mov,60,71,826
"(1,0);(2,1)",mov,60,71,827
"(2,1);(1,0)",stay,61,61,828
"(1,1);(2,0)",stay,61,61,829
"(2,1);(1,0)",mov,61,23,830
"(1,1);(2,0)",mov,61,23,831
"(1,1);(2,0)",mov,61,25,832
"(2,1);(1,0)",mov,61,25,833
"(2,1);(1,0)",mov,61,72,834
"(1,1);(2,0)",mov,61,72,835
"(1,1);(2,0)",mov,61,39,836
"(2,1);(1,0)",mov,61,39,837
"(2,0);(1,1)",mov,154,217,838
"(2,1);(1,0)",mov,154,216,839
"(1,0);(2,1)",mov,154,194,840
"(2,1);(1,0)",mov,154,66,841
"(1,0);(2,1)",stay,154,154,842
"(1,1);(2,0)",stay,154,154,843
"(2,1);(1,0)",mov,154,148,844
"(1,1);(2,0)",mov,154,150,845
"(1,1);(2,0)",mov,154,152,846
"(2,0);(1,1)",mov,155,225,847
"(1,0);(2,1)",mov,155,224,848
"(1,0);(2,1)",mov,155,200,849
"(1,1);(2,0)",mov,155,201,850
"(1,1);(2,0)",mov,155,180,851
"(1,0);(2,1)",mov,155,179,852
"(2,1);(1,0)",mov,155,67,853
"(1,0);(2,1)",stay,155,155,854
"(1,1);(2,0)",stay,155,155,855
"(1,0);(2,1)",stay,156,156,856
"(2,0);(1,1)",stay,156,156,857
"(1,0);(2,1)",mov,156,105,858
"(2,0);(1,1)",mov,156,105,859
"(1,0);(2,1)",mov,157,222,860
"(1,1);(2,0)",mov,157,223,861
"(2,0);(1,1)",mov,157,219,862
"(2,1);(1,0)",mov,157,218,863
"(2,1);(1,0)",mov,157,169,864
"(1,1);(2,0)",mov,157,170,865
"(1,1);(2,0)",mov,157,91,866
"(1,0);(2,1)",stay,157,157,867
"(1,1);(2,0)",stay,157,157,868
"(2,0);(1,1)",mov,158,230,869
"(1,0);(2,1)",mov,158,229,870
"(1,1);(2,0)",mov,158,208,871
"(2,1);(1,0)",mov,158,206,872
"(1,1);(2,0)",stay,158,158,873
"(1,0);(2,1)",stay,158,158,874
"(1,0);(2,1)",mov,158,161,875
"(2,0);(1,1)",mov,158,164,876
"(2,0);(1,1)",mov,159,228,877
"(1,0);(2,1)",mov,159,227,878
"(2,0);(1,1)",mov,159,206,879
"(1,0);(2,1)",mov,159,208,880
"(1,3);(2,0)",set2,159,179,881
"(1,1);(2,0)",stay,159,159,882
"(1,0);(2,1)",stay,159,159,883
"(2,1);(1,0)",mov,159,163,884
"(2,0);(1,1)",mov,159,160,885
"(1,0);(2,1)",mov,160,228,886
"(1,0);(2,1)",mov,160,206,887
"(2,0);(1,1)",mov,160,209,888
"(1,0);(2,1)",stay,160,160,889
"(1,1);(2,0)",stay,160,160,890
"(1,1);(2,0)",mov,160,162,891
"(1,1);(2,0)",mov,160,164,892
"(2,1);(1,0)",mov,160,159,893
"(1,0);(2,1)",mov,161,229,894
"(2,0);(1,1)",mov,161,207,895
"(2,1);(1,0)",mov,161,206,896
"(2,1);(1,0)",mov,161,90,897
"(1,0);(2,1)",stay,161,161,898
"(1,1);(2,0)",stay,161,161,899
"(2,0);(1,1)",mov,161,162,900
"(2,0);(1,1)",mov,161,163,901
"(1,0);(2,1)",mov,161,158,902
"(2,0);(1,1)",mov,162,209,903
"(1,0);(2,1)",mov,162,207,904
"(1,1);(2,0)",mov,162,89,905
"(1,0);(2,1)",stay,162,162,906
"(1,1);(2,0)",stay,162,162,907
"(2,1);(1,0)",mov,162,161,908
"(1,1);(2,0)",mov,162,164,909
"(1,0);(2,1)",mov,162,163,910
"(1,1);(2,0)",mov,162,160,911
"(2,0);(1,1)",mov,163,227,912
"(2,0);(1,1)",mov,163,208,913
"(1,0);(2,1)",mov,163,207,914
"(2,3);(1,0)",set2,163,178,915
"(1,1);(2,0)",mov,163,88,916
"(1,0);(2,1)",stay,163,163,917
"(1,1);(2,0)",stay,163,163,918
"(2,1);(1,0)",mov,163,161,919
"(2,0);(1,1)",mov,163,159,920
"(1,0);(2,1)",mov,163,162,921
"(1,0);(2,1)",mov,164,230,922
"(2,0);(1,1)",mov,164,209,923
"(2,1);(1,0)",mov,164,208,924
"(1,0);(2,1)",stay,164,164,925
"(1,1);(2,0)",stay,164,164,926
"(1,1);(2,0)",mov,164,162,927
"(2,1);(1,0)",mov,164,158,928
"(1,1);(2,0)",mov,164,160,929
"(1,1);(2,0)",mov,165,233,930
"(2,0);(1,1)",mov,165,212,931
"(2,0);(1,1)",mov,165,210,932
"(2,0);(1,1)",mov,165,63,933
"(1,0);(2,1)",mov,165,81,934
"(1,0);(2,1)",stay,165,165,935
"(1,1);(2,0)",stay,165,165,936
"(1,1);(2,0)",mov,166,204,937
"(2,1);(1,0)",mov,166,202,938
"(2,1);(1,0)",mov,166,203,939
"(1,1);(2,0)",mov,166,205,940
"(1,1);(2,0)",mov,166,186,941
"(2,1);(1,0)",mov,166,187,942
"(1,1);(2,0)",stay,166,166,943
"(1,0);(2,1)",stay,166,166,944
"(1,1);(2,0)",mov,148,216,945
"(2,1);(1,0)",mov,148,214,946
"(2,0);(1,1)",mov,148,194,947
"(1,0);(2,1)",mov,148,192,948
"(1,0);(2,1)",stay,148,148,949
"(1,1);(2,0)",stay,148,148,950
"(2,0);(1,1)",mov,148,154,951
"(2,1);(1,0)",mov,148,153,952
"(1,0);(2,1)",mov,149,215,953
"(2,0);(1,1)",mov,149,216,954
"(2,0);(1,1)",mov,149,193,955
"(1,0);(2,1)",stay,149,149,956
"(1,1);(2,0)",stay,149,149,957
"(2,0);(1,1)",mov,149,151,958
"(1,0);(2,1)",mov,149,152,959
"(1,0);(2,1)",mov,149,153,960
"(1,2);(2,0)",set1,150,220,961
"(2,0);(1,1)",mov,150,217,962
"(1,0);(2,1)",mov,150,214,963
"(1,0);(2,1)",mov,150,195,964
"(2,1);(1,0)",mov,150,64,965
"(1,0);(2,1)",stay,150,150,966
"(1,1);(2,0)",stay,150,150,967
"(1,1);(2,0)",mov,150,152,968
"(1,1);(2,0)",mov,150,154,969
"(2,1);(1,0)",mov,150,151,970
"(2,2);(1,0)",set1,151,219,971
"(2,0);(1,1)",mov,151,214,972
"(1,0);(2,1)",mov,151,216,973
"(2,0);(1,1)",mov,151,195,974
"(1,0);(2,1)",mov,151,193,975
"(1,0);(2,1)",stay,151,151,976
"(1,1);(2,0)",stay,151,151,977
"(2,1);(1,0)",mov,151,149,978
"(2,0);(1,1)",mov,151,150,979
"(2,0);(1,1)",mov,152,217,980
"(1,0);(2,1)",mov,152,215,981
"(2,1);(1,0)",mov,152,65,982
"(1,0);(2,1)",stay,152,152,983
"(1,1);(2,0)",stay,152,152,984
"(1,0);(2,1)",mov,152,153,985
"(1,0);(2,1)",mov,152,149,986
"(1,1);(2,0)",mov,152,154,987
"(1,1);(2,0)",mov,152,150,988
"(1,1);(2,0)",mov,153,214,989
"(1,0);(2,1)",mov,153,215,990
"(2,0);(1,1)",mov,153,192,991
"(1,0);(2,1)",stay,153,153,992
"(1,1);(2,0)",stay,153,153,993
"(1,0);(2,1)",mov,153,152,994
"(1,0);(2,1)",mov,153,149,995
"(2,0);(1,1)",mov,153,148,996
"(1,1);(2,0)",mov,142,207,997
"(2,1);(1,0)",mov,142,175,998
"(1,0);(2,1)",stay,142,142,999
"(1,1);(2,0)",stay,142,142,1000
"(1,0);(2,1)",mov,142,89,1001
"(1,0);(2,1)",mov,142,90,1002
"(1,0);(2,1)",mov,142,88,1003
"(1,0);(2,1)",mov,143,188,1004
"(1,1);(2,0)",mov,143,169,1005
"(1,0);(2,1)",mov,143,106,1006
"(1,0);(2,1)",stay,143,143,1007
"(1,1);(2,0)",stay,143,143,1008
"(1,0);(2,1)",mov,143,91,1009
"(1,0);(2,1)",mov,143,144,1010
"(1,1);(2,0)",mov,144,222,1011
"(1,0);(2,2)",get2,144,173,1012
"(1,0);(2,2)",get2,144,173,1013
"(1,0);(2,1)",mov,144,106,1014
"(1,0);(2,1)",stay,144,144,1015
"(1,1);(2,0)",stay,144,144,1016
"(1,0);(2,1)",mov,144,143,1017
"(1,0);(2,1)",mov,144,91,1018
"(2,0);(1,1)",mov,145,198,1019
"(2,0);(1,1)",mov,145,196,1020
"(1,1);(2,0)",mov,145,189,1021
"(1,0);(2,1)",stay,145,145,1022
"(1,1);(2,0)",stay,145,145,1023
"(1,0);(2,1)",mov,145,98,1024
"(2,0);(1,1)",mov,145,100,1025
"(1,0);(2,1)",mov,146,190,1026
"(1,0);(2,1)",mov,146,191,1027
"(2,0);(1,1)",mov,146,178,1028
"(1,0);(2,1)",stay,146,146,1029
"(1,1);(2,0)",stay,146,146,1030
"(1,0);(2,1)",mov,146,147,1031
"(1,0);(2,1)",mov,147,190,1032
"(1,0);(2,1)",mov,147,191,1033
"(2,0);(1,1)",mov,147,180,1034
"(1,0);(2,1)",stay,147,147,1035
"(1,1);(2,0)",stay,147,147,1036
"(1,0);(2,1)",mov,147,146,1037
"(1,1);(2,0)",mov,136,228,1038
"(2,1);(1,0)",mov,136,196,1039
"(2,0);(1,1)",mov,136,182,1040
"(1,1);(2,0)",mov,136,127,1041
"(1,0);(2,1)",mov,136,125,1042
"(1,0);(2,1)",stay,136,136,1043
"(1,1);(2,0)",stay,136,136,1044
"(1,0);(2,1)",mov,136,85,1045
"(2,1);(1,0)",mov,136,158,1046
"(1,1);(2,0)",mov,137,230,1047
"(2,1);(1,0)",mov,137,198,1048
"(1,1);(2,0)",mov,137,183,1049
"(1,0);(2,1)",mov,137,126,1050
"(1,1);(2,0)",mov,137,129,1051
"(1,0);(2,1)",stay,137,137,1052
"(1,1);(2,0)",stay,137,137,1053
"(1,0);(2,1)",mov,137,83,1054
"(2,1);(1,0)",mov,137,159,1055
"(1,1);(2,0)",mov,138,227,1056
"(1,0);(2,1)",get1,138,204,1057
"(2,0);(1,1)",mov,138,183,1058
"(1,0);(2,2)",get2,138,172,1059
"(1,1);(2,0)",mov,138,130,1060
"(2,1);(1,0)",mov,138,126,1061
"(1,1);(2,0)",stay,138,138,1062
"(1,0);(2,1)",stay,138,138,1063
"(1,0);(2,1)",mov,138,86,1064
"(1,0);(2,1)",mov,138,158,1065
"(1,0);(2,2)",get2,139,234,1066
"(2,0);(1,1)",mov,139,189,1067
"(1,0);(2,1)",get1,139,186,1068
"(2,1);(1,0)",mov,139,136,1069
"(2,1);(1,0)",mov,139,137,1070
"(1,1);(2,0)",mov,139,138,1071
"(1,1);(2,0)",mov,139,135,1072
"(1,0);(2,1)",stay,139,139,1073
"(1,1);(2,0)",stay,139,139,1074
"(2,1);(1,0)",mov,139,98,1075
"(1,1);(2,0)",mov,139,99,1076
"(1,0);(2,1)",mov,140,199,1077
"(1,0);(2,1)",stay,140,140,1078
"(1,1);(2,0)",stay,140,140,1079
"(2,0);(1,1)",mov,140,92,1080
"(1,0);(2,1)",mov,141,197,1081
"(1,0);(2,1)",stay,141,141,1082
"(1,1);(2,0)",stay,141,141,1083
"(2,0);(1,1)",mov,141,93,1084
"(2,1);(1,0)",get1,130,231,1085
"(1,1);(2,0)",mov,130,227,1086
"(1,0);(2,2)",get2,130,184,1087
"(2,0);(1,1)",mov,130,183,1088
"(1,1);(2,0)",stay,130,130,1089
"(1,0);(2,1)",stay,130,130,1090
"(2,1);(1,0)",mov,130,87,1091
"(1,1);(2,0)",mov,130,138,1092
"(2,1);(1,0)",mov,130,83,1093
"(2,1);(1,0)",mov,130,164,1094
"(2,0);(1,2)",set1,131,223,1095
"(1,0);(2,2)",get2,131,202,1096
"(1,0);(2,2)",get2,131,202,1097
"(1,1);(2,0)",mov,131,194,1098
"(2,0);(1,1)",mov,131,176,1099
"(1,1);(2,0)",mov,131,113,1100
"(1,0);(2,1)",mov,131,109,1101
"(1,1);(2,0)",stay,131,131,1102
"(1,0);(2,1)",stay,131,131,1103
"(1,0);(2,1)",mov,131,78,1104
"(2,1);(1,0)",mov,131,151,1105
"(1,0);(2,2)",get2,132,203,1106
"(1,0);(2,2)",get2,132,203,1107
"(1,1);(2,0)",mov,132,195,1108
"(1,1);(2,0)",mov,132,177,1109
"(1,1);(2,0)",mov,132,111,1110
"(1,0);(2,1)",mov,132,108,1111
"(1,1);(2,0)",stay,132,132,1112
"(1,0);(2,1)",stay,132,132,1113
"(1,0);(2,1)",mov,132,74,1114
"(2,1);(1,0)",mov,132,148,1115
"(2,1);(1,0)",mov,133,210,1116
"(1,1);(2,0)",mov,133,192,1117
"(2,0);(1,1)",mov,133,177,1118
"(1,1);(2,0)",mov,133,112,1119
"(2,1);(1,0)",mov,133,108,1120
"(1,0);(2,1)",stay,133,133,1121
"(1,1);(2,0)",stay,133,133,1122
"(1,0);(2,1)",mov,133,77,1123
"(1,0);(2,1)",mov,133,151,1124
"(2,1);(1,0)",mov,134,212,1125
"(1,1);(2,0)",mov,134,193,1126
"(1,1);(2,0)",mov,134,176,1127
"(1,1);(2,0)",mov,134,110,1128
"(2,1);(1,0)",mov,134,109,1129
"(1,0);(2,1)",stay,134,134,1130
"(1,1);(2,0)",stay,134,134,1131
"(1,0);(2,1)",mov,134,75,1132
"(1,0);(2,1)",mov,134,148,1133
"(1,1);(2,0)",mov,135,229,1134
"(1,0);(2,1)",get1,135,205,1135
"(1,3);(2,0)",set2,135,200,1136
"(1,1);(2,0)",mov,135,182,1137
"(1,0);(2,2)",get2,135,171,1138
"(2,1);(1,0)",mov,135,125,1139
"(1,1);(2,0)",mov,135,128,1140
"(1,0);(2,1)",stay,135,135,1141
"(1,1);(2,0)",stay,135,135,1142
"(1,0);(2,1)",mov,135,82,1143
"(1,0);(2,1)",mov,135,159,1144
"(1,0);(2,1)",mov,124,233,1145
"(2,0);(1,2)",get2,124,187,1146
"(2,0);(1,2)",get2,124,187,1147
"(1,0);(2,1)",stay,124,124,1148
"(1,1);(2,0)",stay,124,124,1149
"(2,1);(1,0)",mov,124,132,1150
"(2,1);(1,0)",mov,124,131,1151
"(1,1);(2,0)",mov,124,133,1152
"(1,1);(2,0)",mov,124,134,1153
"(1,0);(2,1)",mov,124,80,1154
"(1,1);(2,0)",mov,124,81,1155
"(1,0);(2,3)",set2,125,224,1156
"(1,0);(2,1)",stay,125,125,1157
"(1,1);(2,0)",stay,125,125,1158
"(1,0);(2,1)",mov,125,85,1159
"(2,0);(1,1)",mov,125,135,1160
"(2,0);(1,1)",mov,125,82,1161
"(1,0);(2,1)",mov,125,136,1162
"(2,1);(1,0)",mov,125,158,1163
"(2,0);(1,1)",mov,125,159,1164
"(1,0);(2,1)",stay,126,126,1165
"(1,1);(2,0)",stay,126,126,1166
"(1,0);(2,1)",mov,126,83,1167
"(2,0);(1,1)",mov,126,138,1168
"(2,0);(1,1)",mov,126,86,1169
"(1,0);(2,1)",mov,126,137,1170
"(2,1);(1,0)",mov,126,159,1171
"(2,0);(1,1)",mov,126,158,1172
"(1,1);(2,0)",mov,127,228,1173
"(2,1);(1,0)",mov,127,197,1174
"(2,0);(1,1)",mov,127,182,1175
"(1,0);(2,1)",stay,127,127,1176
"(1,1);(2,0)",stay,127,127,1177
"(2,1);(1,0)",mov,127,84,1178
"(2,1);(1,0)",mov,127,82,1179
"(1,1);(2,0)",mov,127,136,1180
"(1,1);(2,0)",mov,127,93,1181
"(2,1);(1,0)",mov,127,161,1182
"(1,0);(2,1)",get1,128,232,1183
"(1,1);(2,0)",mov,128,229,1184
"(1,0);(2,2)",get2,128,185,1185
"(1,1);(2,0)",mov,128,182,1186
"(1,1);(2,0)",stay,128,128,1187
"(1,0);(2,1)",stay,128,128,1188
"(1,0);(2,1)",mov,128,84,1189
"(1,1);(2,0)",mov,128,135,1190
"(2,1);(1,0)",mov,128,85,1191
"(2,1);(1,0)",mov,128,160,1192
"(1,1);(2,0)",mov,129,230,1193
"(2,1);(1,0)",mov,129,199,1194
"(1,1);(2,0)",mov,129,183,1195
"(1,0);(2,1)",stay,129,129,1196
"(1,1);(2,0)",stay,129,129,1197
"(2,1);(1,0)",mov,129,86,1198
"(1,1);(2,0)",mov,129,137,1199
"(1,0);(2,1)",mov,129,87,1200
"(1,1);(2,0)",mov,129,92,1201
"(1,0);(2,1)",mov,129,163,1202
"(2,0);(1,1)",mov,118,225,1203
"(1,0);(2,1)",mov,118,181,1204
"(1,0);(2,1)",stay,118,118,1205
"(1,1);(2,0)",stay,118,118,1206
"(1,0);(2,1)",mov,118,67,1207
"(1,0);(2,1)",mov,118,119,1208
"(1,0);(2,1)",mov,118,147,1209
"(1,0);(2,1)",get1,119,221,1210
"(2,0);(1,1)",mov,119,201,1211
"(1,0);(2,2)",get2,119,174,1212
"(1,0);(2,1)",stay,119,119,1213
"(1,1);(2,0)",stay,119,119,1214
"(1,0);(2,1)",mov,119,118,1215
"(1,0);(2,1)",mov,119,67,1216
"(1,0);(2,1)",mov,119,147,1217
"(1,0);(2,1)",stay,120,120,1218
"(2,0);(1,1)",stay,120,120,1219
"(1,1);(2,0)",mov,120,69,1220
"(2,1);(1,0)",mov,120,69,1221
"(1,0);(2,1)",mov,120,68,1222
"(2,0);(1,1)",mov,120,68,1223
"(1,0);(2,1)",mov,120,72,1224
"(2,0);(1,1)",mov,120,72,1225
"(2,1);(1,0)",get1,121,215,1226
"(1,1);(2,0)",get1,121,215,1227
"(1,2);(2,0)",get2,121,209,1228
"(2,2);(1,0)",get2,121,209,1229
"(1,2);(2,0)",get2,121,209,1230
"(2,2);(1,0)",get2,121,209,1231
"(1,1);(2,0)",stay,121,121,1232
"(2,1);(1,0)",stay,121,121,1233
"(1,1);(2,0)",mov,121,68,1234
"(2,1);(1,0)",mov,121,68,1235
"(1,0);(2,1)",mov,121,71,1236
"(2,0);(1,1)",mov,121,71,1237
"(1,0);(2,1)",mov,121,70,1238
"(2,0);(1,1)",mov,121,70,1239
"(2,1);(1,0)",stay,122,122,1240
"(1,1);(2,0)",stay,122,122,1241
"(2,1);(1,0)",mov,122,70,1242
"(1,1);(2,0)",mov,122,70,1243
"(2,0);(1,1)",mov,122,73,1244
"(1,0);(2,1)",mov,122,73,1245
"(2,1);(1,0)",mov,122,72,1246
"(1,1);(2,0)",mov,122,72,1247
"(1,1);(2,0)",mov,122,105,1248
"(2,1);(1,0)",mov,122,105,1249
"(1,1);(2,0)",stay,123,123,1250
"(2,1);(1,0)",stay,123,123,1251
"(2,0);(1,1)",mov,123,69,1252
"(1,0);(2,1)",mov,123,69,1253
"(2,1);(1,0)",mov,123,71,1254
"(1,1);(2,0)",mov,123,71,1255
"(2,1);(1,0)",mov,123,73,1256
"(1,1);(2,0)",mov,123,73,1257
"(1,0);(2,1)",mov,112,211,1258
"(1,1);(2,0)",mov,112,192,1259
"(2,0);(1,1)",mov,112,177,1260
"(1,0);(2,1)",stay,112,112,1261
"(1,1);(2,0)",stay,112,112,1262
"(2,1);(1,0)",mov,112,74,1263
"(1,1);(2,0)",mov,112,133,1264
"(2,1);(1,0)",mov,112,76,1265
"(2,1);(1,0)",mov,112,150,1266
"(1,1);(2,0)",mov,112,94,1267
"(1,0);(2,2)",get2,113,231,1268
"(1,0);(2,2)",get2,113,231,1269
"(1,1);(2,0)",mov,113,194,1270
"(2,0);(1,1)",mov,113,176,1271
"(1,1);(2,0)",stay,113,113,1272
"(1,0);(2,1)",stay,113,113,1273
"(2,1);(1,0)",mov,113,79,1274
"(1,1);(2,0)",mov,113,131,1275
"(2,1);(1,0)",mov,113,75,1276
"(1,0);(2,1)",mov,113,149,1277
"(2,1);(1,0)",mov,114,234,1278
"(1,1);(2,0)",mov,114,234,1279
"(1,1);(2,0)",mov,114,171,1280
"(2,1);(1,0)",mov,114,171,1281
"(2,1);(1,0)",mov,114,172,1282
"(1,1);(2,0)",mov,114,172,1283
"(1,0);(2,1)",stay,114,114,1284
"(2,0);(1,1)",stay,114,114,1285
"(2,1);(1,0)",mov,115,211,1286
"(1,0);(2,1)",stay,115,115,1287
"(1,1);(2,0)",stay,115,115,1288
"(2,0);(1,1)",mov,115,94,1289
"(1,0);(2,1)",mov,116,213,1290
"(1,0);(2,1)",stay,116,116,1291
"(1,1);(2,0)",stay,116,116,1292
"(2,0);(1,1)",mov,116,95,1293
"(2,1);(1,0)",mov,117,226,1294
"(1,1);(2,0)",mov,117,217,1295
"(1,0);(2,1)",stay,117,117,1296
"(1,1);(2,0)",stay,117,117,1297
"(1,0);(2,1)",mov,117,64,1298
"(1,0);(2,1)",mov,117,66,1299
"(1,0);(2,1)",mov,117,65,1300
"(2,0);(1,1)",mov,106,218,1301
"(1,0);(2,1)",mov,106,167,1302
"(1,0);(2,1)",mov,106,168,1303
"(1,0);(2,1)",stay,106,106,1304
"(1,1);(2,0)",stay,106,106,1305
"(1,0);(2,1)",mov,106,107,1306
"(2,0);(1,1)",mov,107,220,1307
"(1,0);(2,1)",mov,107,167,1308
"(1,0);(2,1)",mov,107,168,1309
"(1,0);(2,1)",stay,107,107,1310
